date_key,cost_center_key,business_unit_key,vendor_key,gl_account_key,vendor_category,amount,contract_status,notes
20220101,104001,BU03,VEN017,613000,Software,43966.0,No renewal risk,Vendor monthly invoice spend
20220101,104001,BU03,VEN016,613000,Software,53393.0,Renewal in 180 days,Vendor monthly invoice spend
20220101,104001,BU03,VEN011,613000,Software,72407.0,Active,Vendor monthly invoice spend
20220101,104001,BU03,VEN004,613000,Software,18998.0,Renewal in 90 days,Vendor monthly invoice spend
20220101,104001,BU03,VEN007,614000,Professional Services,70242.0,No renewal risk,Vendor monthly invoice spend
20220101,104002,BU03,VEN009,612000,External Labor,36858.0,Renewal in 90 days,Vendor monthly invoice spend
20220101,104002,BU03,VEN004,613000,Software,15613.0,Renewal in 90 days,Vendor monthly invoice spend
20220101,104002,BU03,VEN015,612070,Hardware,35922.0,Active,Vendor monthly invoice spend
20220101,104002,BU03,VEN006,612000,External Labor,40506.0,No renewal risk,Vendor monthly invoice spend
20220101,104002,BU03,VEN002,613050,Cloud,8575.0,Renewal in 180 days,Vendor monthly invoice spend
20220101,104003,BU03,VEN017,613000,Software,66832.0,No renewal risk,Vendor monthly invoice spend
20220101,104003,BU03,VEN018,612070,Hardware,49480.0,No renewal risk,Vendor monthly invoice spend
20220101,104003,BU03,VEN006,612000,External Labor,24201.0,Active,Vendor monthly invoice spend
20220101,104003,BU03,VEN007,614000,Professional Services,15360.0,No renewal risk,Vendor monthly invoice spend
20220101,104003,BU03,VEN002,613050,Cloud,50327.0,Active,Vendor monthly invoice spend
20220101,104005,BU03,VEN010,613000,Software,37761.0,Active,Vendor monthly invoice spend
20220101,104005,BU03,VEN012,613000,Software,61106.0,Renewal in 180 days,Vendor monthly invoice spend
20220101,104005,BU03,VEN014,614000,Professional Services,53950.0,Renewal in 180 days,Vendor monthly invoice spend
20220101,104005,BU03,VEN013,613000,Software,34714.0,No renewal risk,Vendor monthly invoice spend
20220101,104005,BU03,VEN002,613050,Cloud,50942.0,Active,Vendor monthly invoice spend
20220101,104017,BU02,VEN015,612070,Hardware,28216.0,Renewal in 90 days,Vendor monthly invoice spend
20220101,104017,BU02,VEN002,613050,Cloud,41906.0,Renewal in 180 days,Vendor monthly invoice spend
20220101,104017,BU02,VEN004,613000,Software,67676.0,No renewal risk,Vendor monthly invoice spend
20220101,104017,BU02,VEN003,613000,Software,73083.0,Renewal in 90 days,Vendor monthly invoice spend
20220101,104017,BU02,VEN013,613000,Software,23107.0,Renewal in 90 days,Vendor monthly invoice spend
20220101,104018,BU06,VEN001,613050,Cloud,73019.0,Renewal in 180 days,Vendor monthly invoice spend
20220101,104018,BU06,VEN016,613000,Software,27682.0,Renewal in 90 days,Vendor monthly invoice spend
20220101,104018,BU06,VEN003,613000,Software,19305.0,Renewal in 180 days,Vendor monthly invoice spend
20220101,104018,BU06,VEN018,612070,Hardware,16276.0,No renewal risk,Vendor monthly invoice spend
20220101,104018,BU06,VEN004,613000,Software,78412.0,Renewal in 90 days,Vendor monthly invoice spend
20220101,104019,BU03,VEN005,613000,Software,74812.0,No renewal risk,Vendor monthly invoice spend
20220101,104019,BU03,VEN001,613050,Cloud,78502.0,Renewal in 180 days,Vendor monthly invoice spend
20220101,104019,BU03,VEN010,613000,Software,31056.0,Renewal in 90 days,Vendor monthly invoice spend
20220101,104019,BU03,VEN015,612070,Hardware,14993.0,Renewal in 180 days,Vendor monthly invoice spend
20220101,104019,BU03,VEN006,612000,External Labor,39679.0,Renewal in 180 days,Vendor monthly invoice spend
20220101,104022,BU03,VEN007,614000,Professional Services,42123.0,Active,Vendor monthly invoice spend
20220101,104022,BU03,VEN002,613050,Cloud,48020.0,No renewal risk,Vendor monthly invoice spend
20220101,104022,BU03,VEN016,613000,Software,57332.0,Renewal in 180 days,Vendor monthly invoice spend
20220101,104022,BU03,VEN008,614000,Professional Services,61676.0,No renewal risk,Vendor monthly invoice spend
20220101,104022,BU03,VEN009,612000,External Labor,65695.0,No renewal risk,Vendor monthly invoice spend
20220101,104023,BU02,VEN005,613000,Software,16851.0,Active,Vendor monthly invoice spend
20220101,104023,BU02,VEN006,612000,External Labor,40224.0,No renewal risk,Vendor monthly invoice spend
20220101,104023,BU02,VEN011,613000,Software,40425.0,Renewal in 180 days,Vendor monthly invoice spend
20220101,104023,BU02,VEN013,613000,Software,63078.0,Renewal in 90 days,Vendor monthly invoice spend
20220101,104023,BU02,VEN014,614000,Professional Services,58470.0,No renewal risk,Vendor monthly invoice spend
20220101,104026,BU01,VEN007,614000,Professional Services,16104.0,Renewal in 180 days,Vendor monthly invoice spend
20220101,104026,BU01,VEN008,614000,Professional Services,73036.0,Renewal in 180 days,Vendor monthly invoice spend
20220101,104026,BU01,VEN018,612070,Hardware,22548.0,Active,Vendor monthly invoice spend
20220101,104026,BU01,VEN010,613000,Software,30392.0,Active,Vendor monthly invoice spend
20220101,104026,BU01,VEN017,613000,Software,45240.0,Active,Vendor monthly invoice spend
20220101,104027,BU02,VEN007,614000,Professional Services,73369.0,Renewal in 180 days,Vendor monthly invoice spend
20220101,104027,BU02,VEN005,613000,Software,67676.0,Renewal in 90 days,Vendor monthly invoice spend
20220101,104027,BU02,VEN002,613050,Cloud,16989.0,Renewal in 90 days,Vendor monthly invoice spend
20220101,104027,BU02,VEN001,613050,Cloud,18203.0,Renewal in 180 days,Vendor monthly invoice spend
20220101,104027,BU02,VEN017,613000,Software,51117.0,Active,Vendor monthly invoice spend
20220101,104028,BU03,VEN009,612000,External Labor,10352.0,No renewal risk,Vendor monthly invoice spend
20220101,104028,BU03,VEN005,613000,Software,19916.0,Renewal in 180 days,Vendor monthly invoice spend
20220101,104028,BU03,VEN011,613000,Software,39899.0,Renewal in 90 days,Vendor monthly invoice spend
20220101,104028,BU03,VEN017,613000,Software,56845.0,No renewal risk,Vendor monthly invoice spend
20220101,104028,BU03,VEN016,613000,Software,59137.0,Renewal in 180 days,Vendor monthly invoice spend
20220101,104034,BU03,VEN007,614000,Professional Services,78550.0,Renewal in 180 days,Vendor monthly invoice spend
20220101,104034,BU03,VEN008,614000,Professional Services,31314.0,Active,Vendor monthly invoice spend
20220101,104034,BU03,VEN005,613000,Software,16045.0,Renewal in 180 days,Vendor monthly invoice spend
20220101,104034,BU03,VEN004,613000,Software,54217.0,Renewal in 180 days,Vendor monthly invoice spend
20220101,104034,BU03,VEN013,613000,Software,34648.0,No renewal risk,Vendor monthly invoice spend
20220101,109003,BU04,VEN007,614000,Professional Services,15513.0,Renewal in 180 days,Vendor monthly invoice spend
20220101,109003,BU04,VEN003,613000,Software,58337.0,Active,Vendor monthly invoice spend
20220101,109003,BU04,VEN001,613050,Cloud,55168.0,Renewal in 180 days,Vendor monthly invoice spend
20220101,109003,BU04,VEN015,612070,Hardware,24930.0,Renewal in 180 days,Vendor monthly invoice spend
20220101,109003,BU04,VEN016,613000,Software,68934.0,Renewal in 180 days,Vendor monthly invoice spend
20220101,109004,BU04,VEN017,613000,Software,36519.0,Renewal in 180 days,Vendor monthly invoice spend
20220101,109004,BU04,VEN014,614000,Professional Services,60719.0,Renewal in 90 days,Vendor monthly invoice spend
20220101,109004,BU04,VEN010,613000,Software,77679.0,Renewal in 180 days,Vendor monthly invoice spend
20220101,109004,BU04,VEN009,612000,External Labor,59364.0,Renewal in 180 days,Vendor monthly invoice spend
20220101,109004,BU04,VEN018,612070,Hardware,62021.0,Active,Vendor monthly invoice spend
20220101,110101,BU05,VEN008,614000,Professional Services,33051.0,Renewal in 180 days,Vendor monthly invoice spend
20220101,110101,BU05,VEN016,613000,Software,60113.0,No renewal risk,Vendor monthly invoice spend
20220101,110101,BU05,VEN011,613000,Software,51077.0,No renewal risk,Vendor monthly invoice spend
20220101,110101,BU05,VEN018,612070,Hardware,10252.0,Active,Vendor monthly invoice spend
20220101,110101,BU05,VEN003,613000,Software,29956.0,Renewal in 180 days,Vendor monthly invoice spend
20220101,110102,BU05,VEN010,613000,Software,77268.0,Renewal in 90 days,Vendor monthly invoice spend
20220101,110102,BU05,VEN009,612000,External Labor,50027.0,Active,Vendor monthly invoice spend
20220101,110102,BU05,VEN013,613000,Software,73506.0,Renewal in 180 days,Vendor monthly invoice spend
20220101,110102,BU05,VEN003,613000,Software,11105.0,Active,Vendor monthly invoice spend
20220101,110102,BU05,VEN007,614000,Professional Services,59571.0,Renewal in 90 days,Vendor monthly invoice spend
20220101,120201,BU06,VEN016,613000,Software,9503.0,Renewal in 90 days,Vendor monthly invoice spend
20220101,120201,BU06,VEN011,613000,Software,77295.0,Renewal in 90 days,Vendor monthly invoice spend
20220101,120201,BU06,VEN002,613050,Cloud,28459.0,Active,Vendor monthly invoice spend
20220101,120201,BU06,VEN005,613000,Software,66303.0,Renewal in 180 days,Vendor monthly invoice spend
20220101,120201,BU06,VEN018,612070,Hardware,21570.0,No renewal risk,Vendor monthly invoice spend
20220201,104001,BU03,VEN008,614000,Professional Services,59334.0,No renewal risk,Vendor monthly invoice spend
20220201,104001,BU03,VEN012,613000,Software,10983.0,Active,Vendor monthly invoice spend
20220201,104001,BU03,VEN017,613000,Software,40276.0,Renewal in 180 days,Vendor monthly invoice spend
20220201,104001,BU03,VEN016,613000,Software,15206.0,No renewal risk,Vendor monthly invoice spend
20220201,104001,BU03,VEN018,612070,Hardware,35165.0,Renewal in 180 days,Vendor monthly invoice spend
20220201,104002,BU03,VEN014,614000,Professional Services,78537.0,No renewal risk,Vendor monthly invoice spend
20220201,104002,BU03,VEN011,613000,Software,10932.0,Active,Vendor monthly invoice spend
20220201,104002,BU03,VEN017,613000,Software,49002.0,Renewal in 90 days,Vendor monthly invoice spend
20220201,104002,BU03,VEN010,613000,Software,67925.0,No renewal risk,Vendor monthly invoice spend
20220201,104002,BU03,VEN015,612070,Hardware,78137.0,No renewal risk,Vendor monthly invoice spend
20220201,104003,BU03,VEN018,612070,Hardware,76552.0,Renewal in 90 days,Vendor monthly invoice spend
20220201,104003,BU03,VEN007,614000,Professional Services,60911.0,Renewal in 90 days,Vendor monthly invoice spend
20220201,104003,BU03,VEN010,613000,Software,46978.0,Active,Vendor monthly invoice spend
20220201,104003,BU03,VEN008,614000,Professional Services,55032.0,Renewal in 90 days,Vendor monthly invoice spend
20220201,104003,BU03,VEN009,612000,External Labor,15915.0,Renewal in 180 days,Vendor monthly invoice spend
20220201,104005,BU03,VEN013,613000,Software,66729.0,Active,Vendor monthly invoice spend
20220201,104005,BU03,VEN014,614000,Professional Services,42427.0,Active,Vendor monthly invoice spend
20220201,104005,BU03,VEN017,613000,Software,46779.0,Active,Vendor monthly invoice spend
20220201,104005,BU03,VEN007,614000,Professional Services,13898.0,Renewal in 90 days,Vendor monthly invoice spend
20220201,104005,BU03,VEN006,612000,External Labor,16087.0,Active,Vendor monthly invoice spend
20220201,104017,BU02,VEN001,613050,Cloud,52740.0,No renewal risk,Vendor monthly invoice spend
20220201,104017,BU02,VEN003,613000,Software,13286.0,Renewal in 180 days,Vendor monthly invoice spend
20220201,104017,BU02,VEN013,613000,Software,14961.0,Renewal in 90 days,Vendor monthly invoice spend
20220201,104017,BU02,VEN010,613000,Software,34169.0,Active,Vendor monthly invoice spend
20220201,104017,BU02,VEN009,612000,External Labor,18119.0,Renewal in 180 days,Vendor monthly invoice spend
20220201,104018,BU06,VEN014,614000,Professional Services,8797.0,Renewal in 90 days,Vendor monthly invoice spend
20220201,104018,BU06,VEN018,612070,Hardware,71608.0,Active,Vendor monthly invoice spend
20220201,104018,BU06,VEN009,612000,External Labor,35096.0,Renewal in 90 days,Vendor monthly invoice spend
20220201,104018,BU06,VEN011,613000,Software,37220.0,No renewal risk,Vendor monthly invoice spend
20220201,104018,BU06,VEN004,613000,Software,23840.0,Renewal in 90 days,Vendor monthly invoice spend
20220201,104019,BU03,VEN009,612000,External Labor,51560.0,Renewal in 90 days,Vendor monthly invoice spend
20220201,104019,BU03,VEN013,613000,Software,47735.0,Renewal in 90 days,Vendor monthly invoice spend
20220201,104019,BU03,VEN012,613000,Software,59867.0,No renewal risk,Vendor monthly invoice spend
20220201,104019,BU03,VEN016,613000,Software,9956.0,Renewal in 90 days,Vendor monthly invoice spend
20220201,104019,BU03,VEN008,614000,Professional Services,28209.0,No renewal risk,Vendor monthly invoice spend
20220201,104022,BU03,VEN006,612000,External Labor,34032.0,Renewal in 90 days,Vendor monthly invoice spend
20220201,104022,BU03,VEN008,614000,Professional Services,69140.0,Active,Vendor monthly invoice spend
20220201,104022,BU03,VEN018,612070,Hardware,41640.0,No renewal risk,Vendor monthly invoice spend
20220201,104022,BU03,VEN011,613000,Software,64990.0,Active,Vendor monthly invoice spend
20220201,104022,BU03,VEN013,613000,Software,79002.0,No renewal risk,Vendor monthly invoice spend
20220201,104023,BU02,VEN005,613000,Software,28880.0,No renewal risk,Vendor monthly invoice spend
20220201,104023,BU02,VEN008,614000,Professional Services,66134.0,Renewal in 180 days,Vendor monthly invoice spend
20220201,104023,BU02,VEN004,613000,Software,45184.0,Renewal in 90 days,Vendor monthly invoice spend
20220201,104023,BU02,VEN003,613000,Software,40482.0,No renewal risk,Vendor monthly invoice spend
20220201,104023,BU02,VEN002,613050,Cloud,18259.0,Renewal in 180 days,Vendor monthly invoice spend
20220201,104026,BU01,VEN011,613000,Software,40581.0,No renewal risk,Vendor monthly invoice spend
20220201,104026,BU01,VEN001,613050,Cloud,17537.0,Renewal in 90 days,Vendor monthly invoice spend
20220201,104026,BU01,VEN007,614000,Professional Services,62241.0,No renewal risk,Vendor monthly invoice spend
20220201,104026,BU01,VEN015,612070,Hardware,15060.0,No renewal risk,Vendor monthly invoice spend
20220201,104026,BU01,VEN006,612000,External Labor,43386.0,Renewal in 90 days,Vendor monthly invoice spend
20220201,104027,BU02,VEN014,614000,Professional Services,42075.0,Renewal in 90 days,Vendor monthly invoice spend
20220201,104027,BU02,VEN006,612000,External Labor,38555.0,Renewal in 180 days,Vendor monthly invoice spend
20220201,104027,BU02,VEN008,614000,Professional Services,13641.0,Renewal in 180 days,Vendor monthly invoice spend
20220201,104027,BU02,VEN007,614000,Professional Services,14341.0,Renewal in 90 days,Vendor monthly invoice spend
20220201,104027,BU02,VEN012,613000,Software,45086.0,Active,Vendor monthly invoice spend
20220201,104028,BU03,VEN001,613050,Cloud,46070.0,No renewal risk,Vendor monthly invoice spend
20220201,104028,BU03,VEN004,613000,Software,46043.0,Renewal in 90 days,Vendor monthly invoice spend
20220201,104028,BU03,VEN007,614000,Professional Services,58243.0,Renewal in 90 days,Vendor monthly invoice spend
20220201,104028,BU03,VEN005,613000,Software,73711.0,Renewal in 90 days,Vendor monthly invoice spend
20220201,104028,BU03,VEN002,613050,Cloud,51449.0,Renewal in 90 days,Vendor monthly invoice spend
20220201,104034,BU03,VEN013,613000,Software,64387.0,Active,Vendor monthly invoice spend
20220201,104034,BU03,VEN017,613000,Software,39227.0,Renewal in 90 days,Vendor monthly invoice spend
20220201,104034,BU03,VEN010,613000,Software,43433.0,Active,Vendor monthly invoice spend
20220201,104034,BU03,VEN018,612070,Hardware,73173.0,Renewal in 90 days,Vendor monthly invoice spend
20220201,104034,BU03,VEN012,613000,Software,14872.0,Active,Vendor monthly invoice spend
20220201,109003,BU04,VEN014,614000,Professional Services,67974.0,Renewal in 90 days,Vendor monthly invoice spend
20220201,109003,BU04,VEN011,613000,Software,63682.0,Renewal in 180 days,Vendor monthly invoice spend
20220201,109003,BU04,VEN013,613000,Software,54147.0,No renewal risk,Vendor monthly invoice spend
20220201,109003,BU04,VEN006,612000,External Labor,72777.0,Renewal in 90 days,Vendor monthly invoice spend
20220201,109003,BU04,VEN007,614000,Professional Services,34231.0,Active,Vendor monthly invoice spend
20220201,109004,BU04,VEN012,613000,Software,54646.0,No renewal risk,Vendor monthly invoice spend
20220201,109004,BU04,VEN009,612000,External Labor,63486.0,Renewal in 180 days,Vendor monthly invoice spend
20220201,109004,BU04,VEN017,613000,Software,51525.0,Renewal in 180 days,Vendor monthly invoice spend
20220201,109004,BU04,VEN016,613000,Software,72403.0,Renewal in 180 days,Vendor monthly invoice spend
20220201,109004,BU04,VEN002,613050,Cloud,44486.0,Renewal in 180 days,Vendor monthly invoice spend
20220201,110101,BU05,VEN011,613000,Software,73727.0,Renewal in 90 days,Vendor monthly invoice spend
20220201,110101,BU05,VEN014,614000,Professional Services,29728.0,Renewal in 90 days,Vendor monthly invoice spend
20220201,110101,BU05,VEN003,613000,Software,63481.0,Active,Vendor monthly invoice spend
20220201,110101,BU05,VEN015,612070,Hardware,28755.0,Active,Vendor monthly invoice spend
20220201,110101,BU05,VEN002,613050,Cloud,37592.0,No renewal risk,Vendor monthly invoice spend
20220201,110102,BU05,VEN016,613000,Software,39250.0,Renewal in 180 days,Vendor monthly invoice spend
20220201,110102,BU05,VEN018,612070,Hardware,31488.0,Renewal in 180 days,Vendor monthly invoice spend
20220201,110102,BU05,VEN006,612000,External Labor,32704.0,Active,Vendor monthly invoice spend
20220201,110102,BU05,VEN008,614000,Professional Services,40421.0,Renewal in 90 days,Vendor monthly invoice spend
20220201,110102,BU05,VEN004,613000,Software,57534.0,No renewal risk,Vendor monthly invoice spend
