date_key,project_key,cost_center_key,business_unit_key,amount,capex_opex,project_status,notes
20220101,PRJ005,104001,BU03,82909.0,Operating,Green,Project milestone or invoice activity
20220101,PRJ003,104001,BU03,15638.0,Operating,Yellow,Project milestone or invoice activity
20220101,PRJ002,104002,BU03,54062.0,Capital,Yellow,Project milestone or invoice activity
20220101,PRJ003,104002,BU03,60243.0,Operating,Green,Project milestone or invoice activity
20220101,PRJ009,104003,BU03,112003.0,Operating,Yellow,Project milestone or invoice activity
20220101,PRJ007,104003,BU03,107251.0,Operating,Red,Project milestone or invoice activity
20220101,PRJ004,104005,BU03,128050.0,Capital,Green,Project milestone or invoice activity
20220101,PRJ001,104005,BU03,135959.0,Operating,Green,Project milestone or invoice activity
20220101,PRJ005,104017,BU02,109795.0,Capital,Yellow,Project milestone or invoice activity
20220101,PRJ008,104017,BU02,138869.0,Capital,Green,Project milestone or invoice activity
20220101,PRJ004,104018,BU06,24292.0,Capital,Red,Project milestone or invoice activity
20220101,PRJ008,104018,BU06,111159.0,Operating,Yellow,Project milestone or invoice activity
20220101,PRJ008,104019,BU03,126874.0,Capital,Green,Project milestone or invoice activity
20220101,PRJ003,104019,BU03,29481.0,Operating,Green,Project milestone or invoice activity
20220101,PRJ003,104022,BU03,42328.0,Capital,Red,Project milestone or invoice activity
20220101,PRJ006,104022,BU03,96275.0,Capital,Yellow,Project milestone or invoice activity
20220101,PRJ008,104023,BU02,132698.0,Operating,Green,Project milestone or invoice activity
20220101,PRJ002,104023,BU02,64683.0,Capital,Green,Project milestone or invoice activity
20220101,PRJ002,104027,BU02,52539.0,Capital,Yellow,Project milestone or invoice activity
20220101,PRJ007,104027,BU02,51066.0,Operating,Red,Project milestone or invoice activity
20220101,PRJ004,104028,BU03,129265.0,Operating,Yellow,Project milestone or invoice activity
20220101,PRJ006,104028,BU03,67285.0,Operating,Yellow,Project milestone or invoice activity
20220101,PRJ005,104034,BU03,134563.0,Capital,Yellow,Project milestone or invoice activity
20220101,PRJ010,104034,BU03,22408.0,Operating,Red,Project milestone or invoice activity
20220101,PRJ008,109003,BU04,80475.0,Capital,Red,Project milestone or invoice activity
20220101,PRJ001,109003,BU04,26811.0,Capital,Green,Project milestone or invoice activity
20220101,PRJ002,109004,BU04,88225.0,Operating,Red,Project milestone or invoice activity
20220101,PRJ007,109004,BU04,105325.0,Operating,Yellow,Project milestone or invoice activity
20220101,PRJ007,110101,BU05,47466.0,Operating,Green,Project milestone or invoice activity
20220101,PRJ003,110101,BU05,136695.0,Operating,Yellow,Project milestone or invoice activity
20220101,PRJ001,110102,BU05,42098.0,Capital,Green,Project milestone or invoice activity
20220101,PRJ006,110102,BU05,78900.0,Capital,Yellow,Project milestone or invoice activity
20220101,PRJ007,120201,BU06,127984.0,Capital,Yellow,Project milestone or invoice activity
20220101,PRJ010,120201,BU06,81013.0,Capital,Red,Project milestone or invoice activity
20220201,PRJ006,104001,BU03,99962.8,Capital,Green,Project milestone or invoice activity
20220201,PRJ003,104001,BU03,35285.6,Capital,Red,Project milestone or invoice activity
20220201,PRJ006,104002,BU03,154694.4,Capital,Green,Project milestone or invoice activity
20220201,PRJ001,104002,BU03,90991.6,Capital,Red,Project milestone or invoice activity
20220201,PRJ007,104003,BU03,125216.0,Operating,Yellow,Project milestone or invoice activity
20220201,PRJ004,104003,BU03,181804.0,Capital,Red,Project milestone or invoice activity
20220201,PRJ005,104005,BU03,124481.0,Capital,Red,Project milestone or invoice activity
20220201,PRJ010,104005,BU03,37016.0,Capital,Red,Project milestone or invoice activity
20220201,PRJ009,104017,BU02,179912.6,Operating,Green,Project milestone or invoice activity
20220201,PRJ010,104017,BU02,154032.2,Operating,Red,Project milestone or invoice activity
20220201,PRJ002,104018,BU06,70036.4,Capital,Red,Project milestone or invoice activity
20220201,PRJ005,104018,BU06,145474.0,Capital,Red,Project milestone or invoice activity
20220201,PRJ008,104019,BU03,113813.0,Capital,Yellow,Project milestone or invoice activity
20220201,PRJ007,104019,BU03,77778.4,Capital,Green,Project milestone or invoice activity
20220201,PRJ006,104022,BU03,180030.2,Capital,Yellow,Project milestone or invoice activity
20220201,PRJ007,104022,BU03,193937.8,Operating,Green,Project milestone or invoice activity
20220201,PRJ001,104023,BU02,111018.6,Operating,Green,Project milestone or invoice activity
20220201,PRJ007,104023,BU02,28135.8,Capital,Red,Project milestone or invoice activity
20220201,PRJ004,104027,BU02,148286.6,Capital,Red,Project milestone or invoice activity
20220201,PRJ003,104027,BU02,42665.0,Capital,Yellow,Project milestone or invoice activity
20220201,PRJ003,104028,BU03,109972.8,Capital,Green,Project milestone or invoice activity
20220201,PRJ008,104028,BU03,21737.8,Operating,Green,Project milestone or invoice activity
20220201,PRJ008,104034,BU03,45599.4,Capital,Yellow,Project milestone or invoice activity
20220201,PRJ006,104034,BU03,114931.6,Capital,Green,Project milestone or invoice activity
20220201,PRJ008,109003,BU04,106170.4,Operating,Yellow,Project milestone or invoice activity
20220201,PRJ001,109003,BU04,54266.8,Operating,Yellow,Project milestone or invoice activity
20220201,PRJ010,109004,BU04,128053.8,Operating,Red,Project milestone or invoice activity
20220201,PRJ005,109004,BU04,95442.2,Operating,Red,Project milestone or invoice activity
20220201,PRJ008,110101,BU05,135045.4,Operating,Red,Project milestone or invoice activity
20220201,PRJ006,110101,BU05,27197.8,Capital,Yellow,Project milestone or invoice activity
20220201,PRJ002,110102,BU05,33139.4,Operating,Yellow,Project milestone or invoice activity
20220201,PRJ001,110102,BU05,185897.6,Operating,Yellow,Project milestone or invoice activity
20220201,PRJ002,120201,BU06,174983.2,Operating,Red,Project milestone or invoice activity
20220201,PRJ010,120201,BU06,57107.4,Capital,Yellow,Project milestone or invoice activity
20220301,PRJ004,104001,BU03,133506.0,Capital,Red,Project milestone or invoice activity
20220301,PRJ010,104001,BU03,62601.0,Capital,Green,Project milestone or invoice activity
20220301,PRJ007,104002,BU03,34401.0,Capital,Green,Project milestone or invoice activity
20220301,PRJ002,104002,BU03,117686.0,Operating,Yellow,Project milestone or invoice activity
20220301,PRJ004,104003,BU03,78166.0,Operating,Yellow,Project milestone or invoice activity
20220301,PRJ007,104003,BU03,86895.0,Capital,Red,Project milestone or invoice activity
20220301,PRJ007,104005,BU03,30846.0,Capital,Yellow,Project milestone or invoice activity
20220301,PRJ001,104005,BU03,60423.0,Operating,Red,Project milestone or invoice activity
20220301,PRJ009,104017,BU02,50920.0,Capital,Red,Project milestone or invoice activity
20220301,PRJ005,104017,BU02,41480.0,Capital,Green,Project milestone or invoice activity
20220301,PRJ006,104018,BU06,41672.0,Operating,Red,Project milestone or invoice activity
20220301,PRJ003,104018,BU06,51077.0,Operating,Red,Project milestone or invoice activity
20220301,PRJ002,104019,BU03,112240.0,Capital,Green,Project milestone or invoice activity
20220301,PRJ006,104019,BU03,48136.0,Capital,Yellow,Project milestone or invoice activity
20220301,PRJ003,104022,BU03,108621.0,Operating,Red,Project milestone or invoice activity
20220301,PRJ009,104022,BU03,111516.0,Operating,Red,Project milestone or invoice activity
20220301,PRJ010,104023,BU02,103835.0,Capital,Red,Project milestone or invoice activity
20220301,PRJ007,104023,BU02,49060.0,Operating,Yellow,Project milestone or invoice activity
20220301,PRJ002,104027,BU02,25291.0,Capital,Green,Project milestone or invoice activity
